shot,diagnostic,signal_name,label,units,source_file,dataset_path,time_dataset_path,time_discovery_method,data_time_length_match,observations,finite_observations,nan_count,inf_count,zero_count,negative_count,minimum,maximum,mean,median,std_dev,time_found,time_observations,time_start,time_end,duration_s,median_timestep_s,min_timestep_s,max_timestep_s,duplicate_time_count,missing_pct,finite_pct,time_quality
27934,ANU,ANU_NEUTRONS_CB,neutrons_cb,neutrons/sec,anu27934.nc,anu/neutrons_cb/data,/time,HDF5 dimension reference,True,122880,122880,0,0,0,83497,-61323911168.0,64362576347136.0,11276611356121.367,-60884156416.0,18206109805845.88,True,122880,-0.10000000149011612,1.1287899674680375,1.2287899689581536,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27934,ANU,ANU_NEUTRONS_DC,neutrons_dc,neutrons/sec,anu27934.nc,anu/neutrons_dc/data,/anu/neutrons_dc/time,HDF5 dimension reference,True,118881,118881,0,0,0,27228,-4383111118848.0,61729492959232.0,12280278129564.71,2303537446912.0,18148875770905.07,True,118881,-0.08000000566244125,1.1087999643059447,1.188799969968386,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27935,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27935.nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,19661,-27.6774959564209,733.0260620117188,44.07990075005317,-0.23567932099103928,156.62706668499828,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
27935,ANB,ANB_SS_SUM_POWER,,MW,anb27935.nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,10,-0.02357996068894863,1.6744608879089355,0.21529380784731394,0.0005468982853926718,0.5244305405465347,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27935,ANB,ANB_SW_SUM_POWER,,MW,anb27935.nc,anb/sw_sum_power/data,/anb/sw_sum_power/time,HDF5 dimension reference,True,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,True,2,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,100.0,OK
27935,ANB,ANB_TOT_SUM_POWER,,MW,anb27935.nc,anb/tot_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,10,-0.02357996068894863,1.6744608879089355,0.21529380784731394,0.0005468982853926718,0.5244305405465347,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27935,ANU,ANU_ERRORS,errors,"error, neutr",anu27935.nc,anu/errors/data,/anu/errors/time,HDF5 dimension reference,True,34728,34728,0,0,222,0,0.0,5592879464448.0,3256139955024.2324,3390897782784.0,1003005887638.3972,True,34728,-0.09749999642372131,1.3974999822676182,1.4949999786913395,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27935,ANU,ANU_NEUTRONS,neutrons,neutrons/sec,anu27935.nc,anu/neutrons/data,/anu/neutrons/time,HDF5 dimension reference,True,34728,34728,0,0,222,72,-55295660032.0,66477298286592.0,38562169783789.62,40169868623872.0,11975720244315.959,True,34728,-0.09749999642372131,1.3974999822676182,1.4949999786913395,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27935,ANU,ANU_NEUTRONS_CB,neutrons_cb,neutrons/sec,anu27935.nc,anu/neutrons_cb/data,/time,HDF5 dimension reference,True,122880,122880,0,0,0,86859,-61292310528.0,66477298286592.0,10860222261100.184,-60833681408.0,18516523914788.812,True,122880,-0.10000000149011612,1.1287899674680375,1.2287899689581536,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27935,ANU,ANU_NEUTRONS_DC,neutrons_dc,neutrons/sec,anu27935.nc,anu/neutrons_dc/data,/anu/neutrons_dc/time,HDF5 dimension reference,True,118881,118881,0,0,0,28601,-4277603926016.0,63375551758336.0,11911453927250.4,2212378968064.0,18480758434227.03,True,118881,-0.08000000566244125,1.1087999643059447,1.188799969968386,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
